"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 19 12:10:43 UTC 2026","Thu Feb 19 12:11:03 UTC 2026","19849","api","api/auth.spec.ts","Auth API - JSON Schema Validation","","","POST /auth/login with valid credentials returns 200 and matches schema",""
"passed","Thu Feb 19 12:11:07 UTC 2026","Thu Feb 19 12:11:09 UTC 2026","1244","e2e","e2e/auth.spec.ts","Auth E2E Tests","","","should show login page",""
"passed","Thu Feb 19 12:11:03 UTC 2026","Thu Feb 19 12:11:05 UTC 2026","1345","api","api/tenants.spec.ts","Tenants API - JSON Schema Validation","","","GET /tenants with Platform Admin returns 200 and matches schema",""
"passed","Thu Feb 19 12:11:12 UTC 2026","Thu Feb 19 12:11:15 UTC 2026","2765","e2e","e2e/auth.spec.ts","Auth E2E Tests","","","should login successfully and redirect to tickets",""
"passed","Thu Feb 19 12:11:03 UTC 2026","Thu Feb 19 12:11:03 UTC 2026","156","api","api/auth.spec.ts","Auth API - JSON Schema Validation","","","GET /auth/me without token returns 401",""
"passed","Thu Feb 19 12:11:03 UTC 2026","Thu Feb 19 12:11:03 UTC 2026","147","api","api/health.spec.ts","Health API - JSON Schema Validation","","","GET /health returns 200 and matches schema",""
"passed","Thu Feb 19 12:11:10 UTC 2026","Thu Feb 19 12:11:12 UTC 2026","1869","e2e","e2e/auth.spec.ts","Auth E2E Tests","","","should show error on invalid credentials",""
"passed","Thu Feb 19 12:11:05 UTC 2026","Thu Feb 19 12:11:05 UTC 2026","126","api","api/tenants.spec.ts","Tenants API - JSON Schema Validation","","","GET /tenants without token returns 401",""
"broken","Thu Feb 19 12:09:41 UTC 2026","Thu Feb 19 12:10:11 UTC 2026","30022","api","api/auth.spec.ts","Auth API - JSON Schema Validation","","","POST /auth/login with invalid credentials returns 401",""
