"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 19 11:51:34 UTC 2026","Thu Feb 19 11:51:34 UTC 2026","133","api","api/auth.spec.ts","Auth API - JSON Schema Validation","","","GET /auth/me without token returns 401",""
"passed","Thu Feb 19 11:51:42 UTC 2026","Thu Feb 19 11:51:45 UTC 2026","3086","e2e","e2e/auth.spec.ts","Auth E2E Tests","","","should login successfully and redirect to tickets",""
"passed","Thu Feb 19 11:51:40 UTC 2026","Thu Feb 19 11:51:42 UTC 2026","1847","e2e","e2e/auth.spec.ts","Auth E2E Tests","","","should show error on invalid credentials",""
"passed","Thu Feb 19 11:51:36 UTC 2026","Thu Feb 19 11:51:36 UTC 2026","123","api","api/tenants.spec.ts","Tenants API - JSON Schema Validation","","","GET /tenants without token returns 401",""
"passed","Thu Feb 19 11:51:33 UTC 2026","Thu Feb 19 11:51:34 UTC 2026","940","api","api/auth.spec.ts","Auth API - JSON Schema Validation","","","POST /auth/login with valid credentials returns 200 and matches schema",""
"passed","Thu Feb 19 11:51:34 UTC 2026","Thu Feb 19 11:51:36 UTC 2026","1410","api","api/tenants.spec.ts","Tenants API - JSON Schema Validation","","","GET /tenants with Platform Admin returns 200 and matches schema",""
"passed","Thu Feb 19 11:51:38 UTC 2026","Thu Feb 19 11:51:40 UTC 2026","1193","e2e","e2e/auth.spec.ts","Auth E2E Tests","","","should show login page",""
"passed","Thu Feb 19 11:51:31 UTC 2026","Thu Feb 19 11:51:33 UTC 2026","2220","api","api/auth.spec.ts","Auth API - JSON Schema Validation","","","POST /auth/login with invalid credentials returns 401",""
"passed","Thu Feb 19 11:51:34 UTC 2026","Thu Feb 19 11:51:34 UTC 2026","131","api","api/health.spec.ts","Health API - JSON Schema Validation","","","GET /health returns 200 and matches schema",""
